"PublisherIC";"PublisherName";"Region";"NumberOfEmployees"
25101;"Okresní soud v Hodoníně";"Jihomoravský kraj";50
25151;"Okresní soud v Uherském Hradišti";"Zlínský kraj";50
25208;"Okresní soud v Bruntále";"Moravskoslezský kraj";100
25291;"Okresní soud ve Vsetíně";"Zlínský kraj";50
26026;"Krajské státní zastupitelství v Českých Budějovicích";"Jihočeský kraj";100
27251;"Ústav zemědělské ekonomiky a informací";"Praha";250
56324;"Střední škola André Citroëna Boskovice, příspěvková organizace";"Jihomoravský kraj";50
57266;"NÁRODNÍ FILMOVÝ ARCHIV";"Praha";100
64173;"Fakultní nemocnice Královské Vinohrady";"Praha";3000
64327;"Švandovo divadlo na Smíchově";"Praha";100
64475;"Symfonický orchestr hlavního města Prahy FOK";"Praha";100
64581;"Hlavní město Praha";"Praha";4000
66001;"Krajská správa a údržba silnic Středočeského kraje, příspěvková organizace";"Praha";100
66567;"Regionální muzeum Mělník, příspěvková organizace";"Středočeský kraj";20
69841;"Polabské muzeum, příspěvková organizace";"Středočeský kraj";25
72583;"Školní statek, Humpolec, Dusilov 384";"Kraj Vysočina";50
73504;"Jihočeská vědecká knihovna v Českých Budějovicích";"Jihočeský kraj";100
74942;"Technické služby města Klatov, příspěvková organizace";"Plzeňský kraj";100
75710;"Muzeum jižního Plzeňska v Blovicích, příspěvková organizace";"Plzeňský kraj";10
77879;"Střední škola, Bor, Plzeňská 231";"Plzeňský kraj";25
79065;"Technické služby města Chomutova, příspěvková organizace";"Ústecký kraj";100
81582;"Zoologická zahrada Ústí nad Labem, příspěvková organizace";"Ústecký kraj";50
82554;"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace";"Liberecký kraj";100
83232;"Severočeské muzeum v Liberci, příspěvková organizace";"Liberecký kraj";50
85031;"Správa a údržba silnic Pardubického kraje";"Pardubický kraj";250
91120;"Knihovna Kroměřížska - příspěvková organizace";"Zlínský kraj";25
92142;"Muzeum Jana Amose Komenského v Uherském Brodě";"Zlínský kraj";25
92738;"Jihomoravské muzeum ve Znojmě,příspěvková organizace";"Jihomoravský kraj";25
95354;"Muzeum v Bruntále, příspěvková organizace";"Moravskoslezský kraj";25
101443;"Hvězdárna a planetárium Brno, příspěvková organizace";"Jihomoravský kraj";20
194913;"Domov Důchodců Tmavý Důl";"Královéhradecký kraj";50
209805;"Masarykův onkologický ústav";"Jihomoravský kraj";1000
213713;"Katastrální úřad pro Liberecký kraj";"Liberecký kraj";100
213721;"Katastrální úřad pro Pardubický kraj";"Pardubický kraj";250
226475;"Střední škola technická a ekonomická Brno, Olomoucká, příspěvková organizace";"Jihomoravský kraj";100
231401;"Město Benešov";"Středočeský kraj";200
240079;"Město Brandýs nad Labem-Stará Boleslav";"Středočeský kraj";250
240346;"MĚSTSKÁ ČÁST PRAHA - KOLOVRATY";"Praha";20
240711;"MĚSTSKÁ ČÁST PRAHA - SATALICE";"Praha";10
244732;"Statutární město České Budějovice";"Jihočeský kraj";500
245941;"Město Kaplice";"Jihočeský kraj";50
248801;"Město Pelhřimov";"Kraj Vysočina";100
250627;"Město Prachatice";"Jihočeský kraj";100
250996;"Město Blatná";"Jihočeský kraj";50
258199;"Město Nýřany";"Plzeňský kraj";100
259438;"Město Kraslice";"Karlovarský kraj";50
261602;"Město Rumburk";"Ústecký kraj";100
262587;"MĚSTO TANVALD";"Liberecký kraj";100
263958;"Město Litoměřice";"Ústecký kraj";200
263991;"Město Lovosice";"Ústecký kraj";100
272876;"Město Nové Město nad Metují";"Královéhradecký kraj";100
275808;"Město Jilemnice";"Liberecký kraj";100
277177;"Město Polička";"Pardubický kraj";100
283347;"Město Mikulov";"Jihomoravský kraj";50
284653;"Město Vizovice";"Zlínský kraj";50
286745;"MĚSTO TELČ";"Kraj Vysočina";50
293199;"Město Moravský Krumlov";"Jihomoravský kraj";50
294900;"Město Nové Město na Moravě";"Kraj Vysočina";100
295892;"Město Bruntál";"Moravskoslezský kraj";200
297437;"Město Český Těšín";"Moravskoslezský kraj";100
297755;"Město Bílovec";"Moravskoslezský kraj";100
303461;"Město Šumperk";"Olomoucký kraj";200
304271;"Město Rožnov pod Radhoštěm";"Zlínský kraj";200
368512;"Sušické kulturní centrum - SIRKUS, příspěvková organizace";"Plzeňský kraj";25
377678;"Městský dům kultury Sokolov, příspěvková organizace";"Karlovarský kraj";25
377805;"Centrum sociálních služeb Tachov, příspěvková organizace";"Plzeňský kraj";100
405698;"Fond dalšího vzdělávání";"Praha";250
511668;"Domov Lidmaň, příspěvková organizace";"Kraj Vysočina";50
534242;"Nemocnice Třinec, příspěvková organizace";"Moravskoslezský kraj";1000
601250;"Městská knihovna Havířov";"Moravskoslezský kraj";25
